ticket_id,created_at,customer_text,region,first_response_at,sentiment,category
INC-1000,05/04/2026 12:58,Some of the user's can't access Mobile App. Getting Auth Failed error.,UK-LONDON,06/04/2026 11:58,-0.5,Technical
INC-1001,09/04/2026 11:09,ALL USERS can't access Mobile App because it keeps crashing. The This is negatively impacting our productivity!,UK-LONDON,09/04/2026 19:19,-0.8,Technical
INC-1002,25/04/2026 0:32,Some of the user's can't access API. Getting 500 Internal Server error.,CA-TORONTO,26/04/2026 0:06,-0.6,Technical
INC-1003,28/04/2026 10:40,Some of the user's can't access Mobile App. Getting Auth Failed error.,CA-TORONTO,29/04/2026 1:49,-0.5,Account
INC-1004,27/04/2026 16:37,Excellent service! Agent Diane helped me a lot!,AU-SYDNEY,28/04/2026 13:52,0.9,Feedback
INC-1005,12/04/2026 5:08,How do I reset my password for the API?,CA-TORONTO,12/04/2026 6:46,0,How-To Question
INC-1006,13/04/2026 11:43,Some of the user's can't access Dashboard. Getting Auth Failed error.,PH-NCR,14/04/2026 0:10,-0.4,Technical
INC-1007,01/04/2026 12:06,ALL USERS can't access Dashboard because it keeps crashing. The This is negatively impacting our productivity!,CA-TORONTO,01/04/2026 18:45,-0.4,Technical
INC-1008,03/04/2026 23:43,I was charged twice for my Portal subscription. Refund please.,SG-CENTRAL,04/04/2026 1:36,-0.7,Billing
INC-1009,05/04/2026 16:07,ALL USERS can't access Admin Page because it keeps crashing. The This is negatively impacting our productivity!,AU-SYDNEY,05/04/2026 23:44,-0.8,Technical
